  Date          MBBY      MBFL      MBFR      MBGB      MBGH      MBHA      MBLG      MBLY      MBWH      MSS1
  20210714      0.00    100.00      0.00      0.00    100.00      0.00      0.00     99.99      0.00    100.00
  20210713      0.00    100.00      0.00      0.00    100.00      0.00      0.00     99.99      0.00    100.00
  20210712      0.00    100.00      0.00      0.00     99.99      0.00      0.00     99.99      0.00     99.98
  20210711      0.00     99.99      0.00      0.00    100.00      0.00      0.00    100.00      0.00     99.99
  20210710      0.00    100.00      0.00      0.00    100.00      0.00      0.00    100.00      0.00     99.99
  20210709      0.00     99.99      0.00      0.00     99.99      0.00      0.00     99.99      0.00    100.00
  20210708      0.00    100.00      0.00      0.00    100.00      0.00      0.00     99.99      0.00    100.00
  20210707      0.00     99.86      0.00      0.00     99.86      0.00      0.00     99.86      0.00     99.86
  20210706      0.00    100.00      0.00      0.00     99.99      0.00      0.00     99.99      0.00     99.95
  20210705      0.00    100.00      0.00      0.00     99.99      0.00      0.00     99.99      0.00     99.99
  20210704      0.00    100.00      0.00      0.00    100.00      0.00      0.00    100.00      0.00    100.00
  20210703      0.00     96.84      0.00      0.00     99.02      0.00      0.00     95.85      0.00     93.08
  20210702      0.00     96.37      0.00      0.00     95.94      0.00      0.00     95.23      0.00     92.45
  20210701      0.00     99.99      0.00      0.00     99.99      0.00      0.00    100.00      0.00     99.99
  20210630      0.00     99.86      0.00      0.00     99.86      0.00      0.00     99.86      0.00     99.86
  20210629      0.00     99.99      0.00      0.00    100.00      0.00      0.00     73.36      0.00    100.00
  20210628      0.00     99.99      0.00      0.00     99.98      0.00      0.00     63.66      0.00     99.98
  20210627      0.00    100.00      0.00      0.00     99.99      0.00      0.00     99.99      0.00     99.99
  20210626      0.00    100.00      0.00      0.00    100.00      0.00      0.00    100.00      0.00     99.99
  20210625      0.00     99.99      0.00      0.00     99.99      0.00      0.00     99.99      0.00     99.98
  20210624      0.00    100.00      0.00      0.00     99.99      0.00      0.00    100.00      0.00     99.99
  20210623      0.00    100.00      0.00      0.00     99.99      0.00      0.00    100.00      0.00     99.99
  20210622      0.00      0.00      0.00      0.00     99.98      0.00      0.00     99.66      0.00     99.99
